slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide
ASM/DH/83G4/ PD/2016/25,Assam,Dima Hasao,Mahadev Tila slide-2,"Haflong town, Dima Hasao (NC Hills)",25.15561111,93.02222222,Debris,Slide,17 May 2016,2016-05-17,1
ASM/DH/83G4/PD/2016/26,Assam,Dima Hasao,Haflong-Jatinga road section slide-01,"Haflong town, Dima Hasao (NC Hills)",25.15658333,93.01961111,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/29,Assam,Dima Hasao (N.C. Hills),Haflong-Jatinga road section slide-04,"Haflong town,",25.15713889,93.01719444,Debris,Slide,27 May 2016,2016-05-27,1
ASM/DH/83G4/ PD/2016/42,Assam,Dima Hasao (N.C. Hills),96 km Migrendisa slide,"96 km, Migrendisa – Haflong rail section, near Diyung bridge.",25.164,93.04019444,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/PD/2016/43,Assam,Dima Hasao (N.C. Hills),New Haflong R.S. slide - (2),New Haflong Railway Station,25.14872222,93.03191667,Debris,Creep,17 May 2016,2016-05-17,1
ASM/DH/83G4/PD/2016/44,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(3),"New Haflong Railway Station, Dima Hasao (NC Hills)",25.14525,93.02916667,Debris,Slide,17 May 2016,2016-05-17,1
ASM/DH/83G4/ PD/2016/24,Assam,Dima Hasao,Mahadev Tilla-1,"Mahadev Tilla, Haflong,Dima Hasao (NC Hills)",25.15572222,93.02277778,Earth,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016 /35,Assam,Dima Hasao,Haflong – Gunjung road section soil creep-6,Haflong – Gunjung road section,25.23230556,93.03333333,Earth,Creep,17 May 2016,2016-05-17,1
ASM/DH/83G4/ PD/2016/07,Assam,Dima Hasao (N.C. Hills),Haflong – Gunjung slide-1,Near Gunjung village road section,25.20552778,93.02013889,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/31,Assam,Dima Hasao,Haflong – Gunjung road section slide- 02,Haflong – Gunjung road section,25.24597222,93.02827778,Debris,Slide,22 May 2016,2016-05-22,1
AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,"Rudra Nagar, Near Rajohuwa Namghar, Chandmari",26.19052,91.77499,Earth,Slide,24 May 2024,2024-05-24,1
ASM/DH/83G4/ PD/2016/30,Assam,Dima Hasao,Gadhi Rojai Slide,"Haflong town, Dima Hasao (NC Hills)",25.15933333,93.017,Earth,Slide,22 May 2016,2016-05-22,1
